timestamp,x,y,z,pitch,roll,yaw,vx,vy,vz,battery,cpu_load,vicon_count,set_position,set_velocity,calc_thrust
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841005,12.4297,0.914986,75.532,0,0,0,0.00295592,0.000217594,-1.46398,0,0,1,-1.46398,1,2074.4
841016,11.781,0.582257,75.2605,0,0,0,-10.704,-9.26277,-0.931611,0,0,3,-0.931611,-8,2075.5
841027,12.3587,0.186509,74.8792,0,0,0,-0.861605,-10.6592,-0.724781,0,0,5,-0.724781,-3,2076.6
841033,12.3956,0.425832,75.0304,0,0,0,1.23205,7.97745,-0.681331,0,0,6,-0.681331,8,2077.7
841044,12.3791,0.71809,75.2815,0,0,0,-0.561992,-22.8723,-1.14894,0,0,8,-1.14894,-21,2078.8
841067,12.5405,1.08954,75.9074,0,0,0,7.22002,12.6717,-1.74326,0,0,11,-1.74326,14,2081
841078,12.6435,1.04577,76.0171,0,0,0,-0.104674,-5.8037,-1.95181,0,0,13,-1.95181,7,2082.1
841084,12.5136,1.08968,75.9316,0,0,0,-4.33106,1.46361,-1.74348,0,0,14,-1.74348,3,2083.31
841096,12.5107,1.06576,75.8882,0,0,0,1.08728,-0.174711,-1.70522,0,0,16,-1.70522,1,2084.41
841106,12.5061,1.04824,75.9128,0,0,0,-0.431179,-0.638364,-1.67718,0,0,18,-1.67718,1,2085.51
841118,12.5303,1.06633,75.8916,0,0,0,0.776574,-0.839415,-1.70613,0,0,20,-1.70613,0,2086.61
841129,12.4845,1.07952,75.8367,0,0,0,-1.10049,0.762581,-1.72722,0,0,22,-1.72722,2,2087.71
841134,12.5111,1.09604,75.8627,0,0,0,1.06526,0.660948,-1.75366,0,0,23,-1.75366,2,2088.81
841145,12.4941,1.08898,75.8461,0,0,0,-0.0219663,-0.330852,-1.74237,0,0,25,-1.74237,1,2089.91
841156,12.5054,1.08247,75.8788,0,0,0,0.960048,-0.209442,-1.73195,0,0,27,-1.73195,1,2091.01
841167,12.4175,1.11298,75.7726,0,0,0,-2.7042,1.19335,-1.78077,0,0,29,-1.78077,2,2092.11
841178,12.3663,0.677722,75.4482,0,0,0,-4.04482,-13.6335,-1.08435,0,0,31,-1.08435,-12,2093.21
841190,12.4048,0.668258,75.4457,0,0,0,1.3067,-1.18612,-1.06921,0,0,33,-1.06921,0,2094.42
841196,12.3785,0.675233,75.4469,0,0,0,-0.87516,0.232487,-1.08037,0,0,34,-1.08037,1,2095
841206,12.4046,0.675634,75.4494,0,0,0,1.23578,-0.644141,-1.08101,0,0,36,-1.08101,0,2095
841217,12.3823,0.651203,75.4595,0,0,0,-0.679636,0.204185,-1.04192,0,0,38,-1.04192,1,2095
841228,12.4004,0.646727,75.4571,0,0,0,0.557341,-0.86585,-1.03476,0,0,40,-1.03476,0,2095
841251,12.3885,1.09281,75.9059,0,0,0,0.76967,12.8118,-1.7485,0,0,43,-1.7485,14,2095
841257,12.3743,1.0913,75.9093,150,800,253120,-0.473121,-0.050268,-1.74609,-62,46,44,-1.74609,1,2049
841268,12.3939,1.12018,75.8783,180,840,254140,0.440745,0.944801,-1.79229,-47,35,46,-1.79229,2,2059
841280,12.4161,1.08844,75.9001,200,860,255160,-0.18671,-0.58849,-1.7415,-27,32,48,-1.7415,1,2062
841291,12.3746,1.11973,75.8715,230,900,256180,-0.0346434,1.6863,-1.79157,-15,25,50,-1.79157,3,2070
841297,12.3724,1.07393,75.8946,300,900,257190,-0.0724715,-1.52691,-1.71828,0,25,51,-1.71828,0,2070
841313,12.3492,1.14651,75.889,360,930,258050,-0.191249,2.36782,-1.73971,-2,17,54,-1.73971,0,2078
841319,12.3504,1.09923,75.9119,260,990,258890,0.0404896,-1.57617,-1.75876,-8,8,55,-1.75876,0,2086
841329,12.3873,1.05508,75.9056,220,1040,259520,-0.450756,0.485595,-1.68813,-10,5,57,-1.68813,2,2090
841352,12.4381,1.01899,75.8813,160,1110,260550,3.9795,-1.74496,-1.63039,-5,5,60,-1.63039,0,2090
841364,12.4429,0.964893,75.891,110,1180,260970,0.336,-0.032008,-1.54537,-6,4,62,-1.54537,0,2091
841380,12.5554,0.982704,75.9911,110,1110,261530,4.97873,-3.77052,-1.57233,12,15,65,-1.57233,-2,2081
841391,12.5576,1.04525,76.0415,170,960,254260,3.53923,-0.0720846,-1.67585,3,-2,67,-1.67585,4,2095
